OBJECTID,AMA_CODE,SUBBASIN_CODE,SUBBASIN_NAME,NAME_ABBR,SUBBASIN_NAME_GWSI,Shape__Area,Shape__Length
1,0,46,DENDORA VALLEY,DEN,DENDORA VALLEY,604063183.189087,134576.54420644
2,0,36,DRIPPING SPRINGS WASH,DSW,DRIPPING SPRING WASH,980302226.616699,182004.4178724
3,0,38,GILA BEND,GIL,GILA BEND ,3325765955.49744,302462.569291248
4,0,60,GILA VALLEY,SAF,GILA VALLEY,4255135206.89136,373148.26669145
5,0,34,DONNELLY WASH,DON,DONNELLY WASH,759419835.459961,154999.983796431
6,D,11,ELOY,ELO,ELOY,3265111894.11633,333326.225954983
7,0,37,DUNCAN VALLEY,DUN,DUNCAN VALLEY ,1424848290.61938,232974.876084596
8,0,21,ARAVAIPA CANYON,ARA,ARAVAIPA CANYON ,1339562698.1676,205577.061901781
9,D,12,VEKOL VALLEY,VEK,VEKOL VALLEY,783416734.280396,147890.951075945
10,0,83,YUMA,YUM,YUMA,2050496297.41,258185.650238588
11,E,15,AVRA VALLEY,AVR,AVRA VALLEY,5553756528.74377,531177.847859758
12,0,72,TIGER WASH,TIG,TIGER WASH ,191904644.815308,63215.2925929241
13,0,48,CAMP GRANT WASH,CGW,CAMP GRANT WASH,323027895.709839,85360.9803472582
14,0,62,SAN SIMON VALLEY,SSI,SAN SIMON VALLEY,4408444884.66162,431467.298588863
15,D,13,SANTA ROSA VALLEY,SRO,SANTA ROSA,2648910565.05859,308023.416179535
16,E,16,UPPER SANTA CRUZ,USC,UPPER SANTA CRUZ,4465770544.47461,355940.281538851
17,0,82,WILLCOX,WIL,WILLCOX ,4950314326.401,473646.793911878
18,D,14,AGUIRRE VALLEY,AGV,AGUIRRE VALLEY,2056933634.63892,252680.041870796
19,0,45,CHILDS VALLEY,CHV,CHILDS VALLEY,2289660609.82898,239083.285293616
20,0,69,SAN SIMON WASH,SSW,SAN SIMON WASH,5914393107.48718,455878.286377314
21,0,75,ALLEN FLAT,ALF,ALLEN FLAT,453192470.080566,121133.296765949
22,0,81,WESTERN MEXICAN DRAINAGE,WMD,WESTERN MEXICAN DRAINAGE ,1581134654.12378,364206.11924643
23,0,76,SIERRA VISTA,SEV,SIERRA VISTA,4250206273.67688,386745.542719016
24,0,31,CIENEGA CREEK,CCK,CIENEGA CREEK ,1591894565.25049,253172.345868928
25,0,35,DOUGLAS,DOU,DOUGLAS ,1021336673.56616,386201.138743604
