USGS_SITE_ID,USBR_SITE_ID,SITE_NAME
09380000,00013,Colorado River at Lees Ferry
09429490,00014,Colorado River above Imperial Dam
09444500,00058,San Francisco River at Clifton
09448500,00059,Gila River at Head of Safford Valley nr Solomon
09497500,00061,Salt River near Chrysotile
09498500,00062,Salt River near Roosevelt
09499000,00063,Tonto Creek Abv Gun Creek nr Roosevelt
09510000,00064,Verde River below Bartlett Dam
09508500,00064,Verde R blw Tangle Creek Abv Horseshoe Dam
09402300,,Little Colorado River Abv Mouth nr Desert View
09426620,,Bill Williams River near Parker
09512500,,Agua Fria River near Mayer
09415000,,Virgin River at Littlefield
09489000,,Santa Cruz River near Laveen
09471000,,San Pedro River at Charleston
09520500,,Lower Gila River near Dome
09537500,,Whitewater Draw near Douglas
09537200,,Leslie Creek near McNeal
09426650,,Central Arizona Project Canal at Havasu Pumping PL
